grade,level,word,englishHint,englishScenario,tagalogHint,tagalogScenario,category
1,EASY,FACE,The front part of your head,This is where your eyes nose and mouth are. Can you spell it?,Ang harapan ng iyong ulo,Dito matatagpuan ang iyong mga mata ilong at bibig. Marunong ka bang magbaybay nito?,Body
1,EASY,HAIR,The strands that grow on your head,These soft strands grow on top of your head. Can you spell it?,Ang mga hibla na tumutubo sa iyong ulo,Ang malambot na hibla na ito ay tumutubo sa itaas ng iyong ulo. Marunong ka bang magbaybay nito?,Body
1,EASY,RED,The color of apples and fire trucks,This is the color of strawberries and stop signs. Can you spell it?,Ang kulay ng mansanas at fire truck,Ito ang kulay ng strawberry at stop sign. Marunong ka bang magbaybay nito?,Colors
1,EASY,BLUE,The color of the sky and ocean,This is the color you see when you look up on a sunny day. Can you spell it?,Ang kulay ng langit at dagat,Ito ang kulay na nakikita mo kapag tumingin ka sa itaas sa maaraw na araw. Marunong ka bang magbaybay nito?,Colors
1,EASY,GREEN,The color of grass and leaves,This is the color of plants and trees. Can you spell it?,Ang kulay ng damo at dahon,Ito ang kulay ng mga halaman at puno. Marunong ka bang magbaybay nito?,Colors
1,EASY,MILK,The white drink that comes from cows,This white liquid is good for your bones. Can you spell it?,Ang puting inumin na galing sa baka,Ang puting likido na ito ay mabuti para sa iyong mga buto. Marunong ka bang magbaybay nito?,Food
1,EASY,RICE,Small white grains that you cook and eat,Filipino people eat this white grain every day. Can you spell it?,Maliliit na puting butil na niluluto at kinakain,Ang mga Pilipino ay kumakain ng puting butil na ito araw-araw. Marunong ka bang magbaybay nito?,Food
1,EASY,JUMP,Pushing yourself up into the air,When you push your feet off the ground and go up. Can you spell it?,Itulak ang iyong sarili pataas sa hangin,Kapag itinulak mo ang iyong mga paa mula sa lupa at umakyat. Marunong ka bang magbaybay nito?,Actions
1,EASY,WALK,Moving by putting one foot in front of the other,When you move slowly by taking steps. Can you spell it?,Gumalaw sa pamamagitan ng paglagay ng isang paa sa harap ng isa pa,Kapag gumagalaw ka nang dahan-dahan sa pamamagitan ng paghakbang. Marunong ka bang magbaybay nito?,Actions
1,EASY,SIT,To rest on a chair or the ground,When you bend your legs and rest on something. Can you spell it?,Umupo sa upuan o sa lupa,Kapag binabalikat mo ang iyong mga binti at nagpapahinga sa isang bagay. Marunong ka bang magbaybay nito?,Actions
1,EASY,EAT,Putting food in your mouth and swallowing it,When you put food in your mouth and chew it. Can you spell it?,Paglagay ng pagkain sa iyong bibig at paglunok nito,Kapag inilalagay mo ang pagkain sa iyong bibig at ngumuya. Marunong ka bang magbaybay nito?,Actions
1,EASY,PLAY,Having fun with games or toys,When you have fun with your friends and toys. Can you spell it?,Magsaya sa mga laro o laruan,Kapag nagsasaya ka kasama ang iyong mga kaibigan at laruan. Marunong ka bang magbaybay nito?,Actions
1,MEDIUM,APPLE,A crunchy red or green fruit,This round fruit grows on trees and is crunchy. Can you spell it?,Isang malutong na pula o berdeng prutas,Ang bilog na prutas na ito ay tumutubo sa puno at malutong. Marunong ka bang magbaybay nito?,Fruits
1,MEDIUM,HOUSE,A building where a family lives together,This is where your family sleeps and eats together. Can you spell it?,Isang gusali kung saan nakatira ang pamilya,Dito natutulog at kumakain ang iyong pamilya. Marunong ka bang magbaybay nito?,Places
1,MEDIUM,WATER,A clear liquid we drink when thirsty,This clear liquid keeps you alive and healthy. Can you spell it?,Isang malinaw na likido na iniinom,Ang malinaw na likido na ito ay nagpapanatili sa iyo na buhay at malusog. Marunong ka bang magbaybay nito?,Nature
1,MEDIUM,CHAIR,Something you sit on with four legs,This furniture has four legs and you sit on it. Can you spell it?,Isang bagay na inuupuan na may apat na binti,Ang muwebles na ito ay may apat na binti at inuupuan mo ito. Marunong ka bang magbaybay nito?,Furniture
1,MEDIUM,TABLE,A flat surface where you eat or study,This flat furniture is where you eat your meals. Can you spell it?,Isang patag na ibabaw kung saan kumakain,Ang patag na muwebles na ito ay kung saan kumakain ka. Marunong ka bang magbaybay nito?,Furniture
1,MEDIUM,HAPPY,The feeling when something good happens,This is how you feel when you get a gift. Can you spell it?,Ang nararamdaman kapag may magandang nangyari,Ito ang nararamdaman mo kapag nakatanggap ka ng regalo. Marunong ka bang magbaybay nito?,Emotions
1,MEDIUM,SMILE,What you do with your mouth when happy,Your mouth curves up when you feel joyful. Can you spell it?,Ang ginagawa mo sa bibig kapag masaya,Ang iyong bibig ay kumurba pataas kapag masaya ka. Marunong ka bang magbaybay nito?,Actions
1,MEDIUM,CLOUD,White fluffy things in the sky,These white puffy things float in the sky. Can you spell it?,Puting malambot na bagay sa langit,Ang puting malambot na bagay na ito ay lumulutang sa langit. Marunong ka bang magbaybay nito?,Nature
1,MEDIUM,GRASS,Green plants that cover the ground,This green plant covers the ground in parks. Can you spell it?,Berdeng halaman na sumasaklaw sa lupa,Ang berdeng halaman na ito ay sumasaklaw sa lupa sa mga parke. Marunong ka bang magbaybay nito?,Nature
1,MEDIUM,FLOWER,A colorful plant that smells nice,This colorful plant blooms and smells sweet. Can you spell it?,Isang makulay na halaman na mabango,Ang makulay na halaman na ito ay namumulaklak at mabango. Marunong ka bang magbaybay nito?,Nature
1,MEDIUM,MOTHER,The female parent who takes care of you,This woman gave birth to you and loves you. Can you spell it?,Ang babaeng magulang na nag-aalaga sa iyo,Ang babaeng ito ay nanganak sa iyo at mahal ka. Marunong ka bang magbaybay nito?,Family
1,MEDIUM,FATHER,The male parent who protects the family,This man is married to your mother. Can you spell it?,Ang lalaking magulang na nag-aalaga sa pamilya,Ang lalaking ito ay asawa ng iyong ina. Marunong ka bang magbaybay nito?,Family
1,MEDIUM,SISTER,A female sibling in your family,This girl shares the same parents as you. Can you spell it?,Babaeng kapatid sa iyong pamilya,Ang batang babae na ito ay may parehong magulang sa iyo. Marunong ka bang magbaybay nito?,Family
1,MEDIUM,BROTHER,A male sibling in your family,This boy shares the same parents as you. Can you spell it?,Lalaking kapatid sa iyong pamilya,Ang batang lalaki na ito ay may parehong magulang sa iyo. Marunong ka bang magbaybay nito?,Family
1,MEDIUM,BABY,A very young child,This very young person cries and drinks milk. Can you spell it?,Napakabatang bata,Ang napakabatang tao na ito ay umiiyak at umiinom ng gatas. Marunong ka bang magbaybay nito?,Family
1,MEDIUM,UNCLE,Your parent's brother,This man is your father or mother's brother. Can you spell it?,Kapatid na lalaki ng iyong magulang,Ang lalaking ito ay kapatid ng iyong ama o ina. Marunong ka bang magbaybay nito?,Family
1,MEDIUM,ROOM,A space inside a house with walls,This is a space inside your house where you sleep. Can you spell it?,Isang espasyo sa loob ng bahay na may mga dingding,Ito ay isang espasyo sa loob ng iyong bahay kung saan ka natutulog. Marunong ka bang magbaybay nito?,Home
1,MEDIUM,DOOR,Something you open to enter or leave,You push or pull this to go in or out of a room. Can you spell it?,Isang bagay na binubuksan upang pumasok o lumabas,Itinulak o hinila mo ito upang pumasok o lumabas ng silid. Marunong ka bang magbaybay nito?,Home
1,MEDIUM,WINDOW,An opening in a wall that lets in light,This opening in the wall lets sunlight come inside. Can you spell it?,Isang butas sa pader na pumapasok ang liwanag,Ang butas na ito sa pader ay nagpapapasok ng sikat ng araw. Marunong ka bang magbaybay nito?,Home
1,MEDIUM,FLOOR,The surface you walk on inside,This is the flat surface at the bottom of a room. Can you spell it?,Ang ibabaw na nilalakaran sa loob,Ito ang patag na ibabaw sa ilalim ng silid. Marunong ka bang magbaybay nito?,Home
1,MEDIUM,WALL,The vertical surface that forms a room,These stand up straight and form the sides of a room. Can you spell it?,Ang patayong ibabaw na bumubuo ng silid,Ang mga ito ay nakatayo nang tuwid at bumubuo ng mga gilid ng silid. Marunong ka bang magbaybay nito?,Home
1,MEDIUM,BED,A soft place where you sleep,This soft furniture is where you rest at night. Can you spell it?,Malambot na lugar kung saan natutulog,Ang malambot na muwebles na ito ay kung saan ka nagpapahinga sa gabi. Marunong ka bang magbaybay nito?,Home
1,MEDIUM,LAMP,A device that gives light,This object lights up your room when it's dark. Can you spell it?,Isang aparato na nagbibigay ng liwanag,Ang bagay na ito ay nag-iilaw sa iyong silid kapag madilim. Marunong ka bang magbaybay nito?,Home
1,MEDIUM,TEACHER,A person who helps students learn,This person teaches you new things at school. Can you spell it?,Isang tao na tumutulong sa mga estudyante na matuto,Ang taong ito ay nagtuturo sa iyo ng mga bagong bagay sa paaralan. Marunong ka bang magbaybay nito?,School
1,MEDIUM,STUDENT,A person who goes to school to learn,This person goes to school every day to study. Can you spell it?,Isang tao na pumupunta sa paaralan upang matuto,Ang taong ito ay pumupunta sa paaralan araw-araw upang mag-aral. Marunong ka bang magbaybay nito?,School
1,MEDIUM,PENCIL,A tool you use to write that can be erased,You write with this and can erase mistakes. Can you spell it?,Isang gamit sa pagsulat na maaaring burahin,Sumusulat ka gamit ito at maaaring burahin ang mga pagkakamali. Marunong ka bang magbaybay nito?,School
1,MEDIUM,PAPER,A thin sheet you write or draw on,You write your homework on this thin white sheet. Can you spell it?,Isang manipis na sheet na sinusulatan o ginuguhitan,Sinusulat mo ang iyong takdang-aralin sa manipis na puting sheet na ito. Marunong ka bang magbaybay nito?,School
1,MEDIUM,CRAYON,A colored stick used for drawing,Children use these colorful sticks to color pictures. Can you spell it?,Makulay na stick na ginagamit sa pagguhit,Ginagamit ng mga bata ang makulay na stick na ito upang kulayan ang mga larawan. Marunong ka bang magbaybay nito?,School
1,MEDIUM,ERASER,A tool that removes pencil marks,You rub this on paper to remove pencil writing. Can you spell it?,Isang gamit na nag-aalis ng mga marka ng lapis,Kinukuskos mo ito sa papel upang alisin ang sulat ng lapis. Marunong ka bang magbaybay nito?,School
1,MEDIUM,DESK,A table where students work,Students sit at this furniture to write and study. Can you spell it?,Isang mesa kung saan gumagawa ang mga estudyante,Umuupo ang mga estudyante sa muwebles na ito upang sumulat at mag-aral. Marunong ka bang magbaybay nito?,School
1,MEDIUM,RIVER,A long flowing body of water,This long water flows from mountains to the sea. Can you spell it?,Mahabang umaagos na tubig,Ang mahabang tubig na ito ay umaagos mula sa bundok patungo sa dagat. Marunong ka bang magbaybay nito?,Nature
1,HARD,SCHOOL,A place where children go to learn,Children go here every day to study and make friends. Can you spell it?,Isang lugar kung saan nag-aaral ang mga bata,Pumupunta ang mga bata dito araw-araw upang mag-aral at gumawa ng mga kaibigan. Marunong ka bang magbaybay nito?,Places
1,HARD,FAMILY,A group of people like mom dad and siblings,These are the people you live with and love. Can you spell it?,Isang grupo ng mga tao tulad ng nanay tatay,Ito ang mga taong kasama mo sa bahay at mahal mo. Marunong ka bang magbaybay nito?,Social
1,HARD,FRIEND,Someone you like to play and share with,This person plays with you and makes you happy. Can you spell it?,Isang tao na gusto mong maglaro,Ang taong ito ay naglalaro sa iyo at nagpapasaya sa iyo. Marunong ka bang magbaybay nito?,Social
1,HARD,GARDEN,An outdoor area with flowers and plants,This outdoor space has many colorful flowers and vegetables. Can you spell it?,Isang lugar sa labas na may mga bulaklak,Ang lugar sa labas na ito ay may maraming makulay na bulaklak at gulay. Marunong ka bang magbaybay nito?,Nature
1,HARD,ORANGE,A round citrus fruit same name as color,This round fruit is juicy and has the same name as a color. Can you spell it?,Isang bilog na prutas na pareho ang pangalan sa kulay,Ang bilog na prutas na ito ay malambot at may parehong pangalan sa isang kulay. Marunong ka bang magbaybay nito?,Fruits
1,HARD,WINDOW,An opening in a wall that lets in light,You can look outside through this glass opening. Can you spell it?,Isang butas sa pader na pumapasok ang liwanag,Maaari kang tumingin sa labas sa pamamagitan ng salaming butas na ito. Marunong ka bang magbaybay nito?,Home
1,HARD,KITCHEN,The room where food is cooked,Your family prepares and cooks meals in this room. Can you spell it?,Ang silid kung saan niluluto ang pagkain,Ang iyong pamilya ay naghahanda at nagluluto ng pagkain sa silid na ito. Marunong ka bang magbaybay nito?,Home
1,HARD,RAINBOW,Colorful arc in the sky after rain,This beautiful arc of colors appears after the rain. Can you spell it?,Makulay na arko sa langit pagkatapos ng ulan,Ang magandang arko ng mga kulay na ito ay lumilitaw pagkatapos ng ulan. Marunong ka bang magbaybay nito?,Nature
1,HARD,ELEPHANT,A huge gray animal with a long trunk,This is the biggest land animal with a long nose. Can you spell it?,Isang napakalaking kulay-abong hayop na may mahabang nguso,Ito ang pinakamalaking hayop sa lupa na may mahabang ilong. Marunong ka bang magbaybay nito?,Animals
1,HARD,UMBRELLA,Something you hold to stay dry in rain,You open this to protect yourself from rain. Can you spell it?,Isang bagay na hawak upang manatiling tuyo sa ulan,Binubuksan mo ito upang protektahan ang iyong sarili mula sa ulan. Marunong ka bang magbaybay nito?,Objects
1,HARD,BICYCLE,A two-wheeled vehicle you pedal,You ride this by pedaling with your feet. Can you spell it?,Isang sasakyan na may dalawang gulong na pinepedal,Sinasakyan mo ito sa pamamagitan ng pagpedal gamit ang iyong mga paa. Marunong ka bang magbaybay nito?,Transport
1,HARD,COMPUTER,A machine you use to work or play games,This electronic device helps you learn and play. Can you spell it?,Isang makina na ginagamit sa trabaho o paglalaro,Ang elektronikong aparato na ito ay tumutulong sa iyo na matuto at maglaro. Marunong ka bang magbaybay nito?,Technology
1,HARD,TELEPHONE,A device you use to talk to people far away,You speak into this to talk to someone far away. Can you spell it?,Isang aparato na ginagamit upang makipag-usap sa mga taong malayo,Nagsasalita ka sa loob nito upang makipag-usap sa isang taong malayo. Marunong ka bang magbaybay nito?,Technology
1,HARD,TELEVISION,A screen that shows programs and movies,Your family watches shows and movies on this screen. Can you spell it?,Isang screen na nagpapakita ng mga programa at pelikula,Ang iyong pamilya ay nanonood ng mga palabas at pelikula sa screen na ito. Marunong ka bang magbaybay nito?,Technology
1,HARD,CALENDAR,Shows all the days weeks and months,This shows you what day it is and helps you remember dates. Can you spell it?,Nagpapakita ng lahat ng araw linggo at buwan,Ipinapakita nito sa iyo kung anong araw ngayon at tumutulong na matandaan ang mga petsa. Marunong ka bang magbaybay nito?,Time
1,HARD,SWIMMING,Moving through water using arms and legs,This activity keeps you cool in the pool. Can you spell it?,Paggalaw sa tubig gamit ang mga braso at binti,Ang aktibidad na ito ay nagpapalamig sa iyo sa pool. Marunong ka bang magbaybay nito?,Actions
1,HARD,RUNNING,Moving very fast on your feet,Athletes do this to exercise and stay fit. Can you spell it?,Paggalaw nang napakabilis gamit ang mga paa,Ginagawa ito ng mga atleta upang mag-ehersisyo at manatiling fit. Marunong ka bang magbaybay nito?,Actions
1,HARD,JUMPING,Pushing yourself up into the air,You do this when you're happy or playing. Can you spell it?,Itulak ang iyong sarili pataas sa hangin,Ginagawa mo ito kapag masaya ka o naglalaro. Marunong ka bang magbaybay nito?,Actions
1,HARD,DANCING,Moving your body to music,People do this at parties when music plays. Can you spell it?,Paggalaw ng iyong katawan sa musika,Ginagawa ito ng mga tao sa mga party kapag may tumutugtog na musika. Marunong ka bang magbaybay nito?,Actions
1,HARD,SINGING,Making music with your voice,You do this when you're happy and want to make music. Can you spell it?,Paggawa ng musika gamit ang iyong boses,Ginagawa mo ito kapag masaya ka at gusto mong gumawa ng musika. Marunong ka bang magbaybay nito?,Actions
1,HARD,READING,Looking at words and understanding them,You do this with books to learn new stories. Can you spell it?,Pagtingin sa mga salita at pag-unawa sa kanila,Ginagawa mo ito sa mga aklat upang matuto ng mga bagong kuwento. Marunong ka bang magbaybay nito?,Actions
1,HARD,WRITING,Making words with a pen or pencil,You do this to send messages or do homework. Can you spell it?,Paggawa ng mga salita gamit ang pen o lapis,Ginagawa mo ito upang magpadala ng mga mensahe o gumawa ng takdang-aralin. Marunong ka bang magbaybay nito?,Actions
1,HARD,CROCODILE,A large reptile with sharp teeth,This dangerous animal lives in rivers and has big teeth. Can you spell it?,Isang malaking reptilya na may matalas na ngipin,Ang mapanganib na hayop na ito ay nakatira sa mga ilog at may malalaking ngipin. Marunong ka bang magbaybay nito?,Animals
1,HARD,KANGAROO,An animal that hops and carries babies in pouch,This Australian animal jumps high and has a pouch. Can you spell it?,Isang hayop na tumalon at may bulsa,Ang hayop na ito mula Australia ay tumalon nang mataas at may bulsa. Marunong ka bang magbaybay nito?,Animals
1,HARD,GIRAFFE,A tall animal with a very long neck,This is the tallest animal with spots and a long neck. Can you spell it?,Isang matangkad na hayop na may napakahaba ng leeg,Ito ang pinakamataas na hayop na may mga batik at mahabang leeg. Marunong ka bang magbaybay nito?,Animals
1,HARD,PENGUIN,A black and white bird that cannot fly,This bird lives in cold places and waddles on ice. Can you spell it?,Isang itim at puting ibon na hindi makakalupad,Ang ibong ito ay nakatira sa malamig na lugar at naglalakad sa yelo. Marunong ka bang magbaybay nito?,Animals
1,HARD,BUTTERFLY,A colorful insect with beautiful wings,This insect has colorful wings and flies from flower to flower. Can you spell it?,Isang makulay na insekto na may magagandang pakpak,Ang insekto na ito ay may makulay na pakpak at lumilipad mula bulaklak patungo sa bulaklak. Marunong ka bang magbaybay nito?,Animals
1,HARD,PLAYGROUND,An outdoor area with swings and slides,Children play on swings and slides in this fun place. Can you spell it?,Isang lugar sa labas na may mga duyan at slide,Naglalaro ang mga bata sa mga duyan at slide sa masayang lugar na ito. Marunong ka bang magbaybay nito?,Places
1,HARD,HOSPITAL,A place where sick people go to get better,Doctors and nurses help sick people get well here. Can you spell it?,Isang lugar kung saan pumupunta ang mga may sakit,Tinutulungan ng mga doktor at nars ang mga may sakit na gumaling dito. Marunong ka bang magbaybay nito?,Places
1,HARD,LIBRARY,A quiet place with many books to read,This quiet building has thousands of books you can borrow. Can you spell it?,Isang tahimik na lugar na may maraming aklat,Ang tahimik na gusali na ito ay may libu-libong aklat na maaari mong hiramin. Marunong ka bang magbaybay nito?,Places
1,HARD,CHURCH,A place where people go to pray,Families go here on Sundays to worship and pray. Can you spell it?,Isang lugar kung saan pumupunta ang mga tao upang manalangin,Pumupunta ang mga pamilya dito tuwing Linggo upang sumamba at manalangin. Marunong ka bang magbaybay nito?,Places
2,EASY,COMMUNITY,People living in the same area together,These are all the people who live in your neighborhood. Can you spell it?,Mga taong nakatira sa parehong lugar,Ito ang lahat ng mga taong nakatira sa iyong kapitbahayan. Marunong ka bang magbaybay nito?,Social
2,EASY,NEIGHBOR,Someone who lives near your house,This person lives in the house next to yours. Can you spell it?,Isang tao na nakatira malapit sa iyong bahay,Ang taong ito ay nakatira sa bahay na katabi mo. Marunong ka bang magbaybay nito?,Social
2,EASY,HELPER,A person who assists others,This person helps you when you need something. Can you spell it?,Isang tao na tumutulong sa iba,Ang taong ito ay tumutulong sa iyo kapag kailangan mo ng isang bagay. Marunong ka bang magbaybay nito?,Social
2,EASY,MARKET,A place where people buy and sell goods,People go here to buy fresh fruits and vegetables. Can you spell it?,Isang lugar kung saan bumibili at nagbebenta,Pumupunta ang mga tao dito upang bumili ng sariwang prutas at gulay. Marunong ka bang magbaybay nito?,Places
2,EASY,CHURCH,A place where people pray and worship,Families gather here on Sundays to pray together. Can you spell it?,Isang lugar kung saan nanalangin ang mga tao,Nagtitipon ang mga pamilya dito tuwing Linggo upang manalangin. Marunong ka bang magbaybay nito?,Places
2,EASY,SAFETY,Being protected from danger or harm,Wearing a helmet keeps you in this state. Can you spell it?,Ang pagiging protektado mula sa panganib,Ang pagsusuot ng helmet ay nagpapanatili sa iyo sa kalagayang ito. Marunong ka bang magbaybay nito?,Values
2,EASY,CLEAN,Free from dirt or mess,Your room should be this after you organize it. Can you spell it?,Malinis at walang dumi,Ang iyong silid ay dapat ganito pagkatapos mong ayusin ito. Marunong ka bang magbaybay nito?,Actions
2,EASY,HEALTHY,Being strong and free from sickness,Eating vegetables helps you stay this way. Can you spell it?,Malakas at walang sakit,Ang pagkain ng gulay ay tumutulong sa iyo na manatiling ganito. Marunong ka bang magbaybay nito?,Health
2,EASY,RESPECT,Treating others with kindness and honor,You show this when you listen to your elders. Can you spell it?,Pagtrato sa iba nang may kabaitan,Ipinapakita mo ito kapag nakikinig ka sa iyong mga matatanda. Marunong ka bang magbaybay nito?,Values
2,EASY,SHARING,Giving some of what you have to others,When you let your friend play with your toy. Can you spell it?,Pagbibigay ng iyong mga bagay sa iba,Kapag hinayaan mo ang iyong kaibigan na maglaro ng iyong laruan. Marunong ka bang magbaybay nito?,Values
2,EASY,CARING,Showing love and concern for others,You do this when you help someone who is sad. Can you spell it?,Pagpapakita ng pagmamahal at malasakit sa iba,Ginagawa mo ito kapag tumutulong ka sa isang taong malungkot. Marunong ka bang magbaybay nito?,Values
2,EASY,HELPING,Assisting someone who needs support,You do this when you carry groceries for your mom. Can you spell it?,Pagtulong sa isang taong nangangailangan ng suporta,Ginagawa mo ito kapag dinadala mo ang mga grocery para sa iyong nanay. Marunong ka bang magbaybay nito?,Values
2,EASY,GIVING,Providing something to someone else,You do this when you donate toys to others. Can you spell it?,Pagbibigay ng isang bagay sa ibang tao,Ginagawa mo ito kapag nagdo-donate ka ng mga laruan sa iba. Marunong ka bang magbaybay nito?,Values
2,EASY,LOVING,Feeling deep affection for someone,You feel this way about your family. Can you spell it?,Pagkakaroon ng malalim na pagmamahal sa isang tao,Nararamdaman mo ito para sa iyong pamilya. Marunong ka bang magbaybay nito?,Emotions
2,EASY,PLAYING,Having fun with games or activities,Children do this during recess time. Can you spell it?,Pagsasaya sa mga laro o aktibidad,Ginagawa ito ng mga bata sa oras ng recess. Marunong ka bang magbaybay nito?,Actions
2,EASY,WORKING,Doing tasks or jobs,Adults do this to earn money for the family. Can you spell it?,Paggawa ng mga gawain o trabaho,Ginagawa ito ng mga matatanda upang kumita ng pera para sa pamilya. Marunong ka bang magbaybay nito?,Actions
2,EASY,LEARNING,Getting new knowledge or skills,You do this every day at school. Can you spell it?,Pagkuha ng bagong kaalaman o kasanayan,Ginagawa mo ito araw-araw sa paaralan. Marunong ka bang magbaybay nito?,Actions
2,EASY,STREET,A road in a town or city,Cars and people use this to travel in the city. Can you spell it?,Isang daan sa bayan o lungsod,Ginagamit ng mga kotse at tao ito upang maglakbay sa lungsod. Marunong ka bang magbaybay nito?,Places
2,EASY,ROAD,A path for vehicles to travel on,This connects one place to another for cars. Can you spell it?,Isang landas para sa mga sasakyan,Ito ay nag-uugnay ng isang lugar sa iba para sa mga kotse. Marunong ka bang magbaybay nito?,Places
2,EASY,BRIDGE,A structure that crosses over water or roads,This helps you cross over a river safely. Can you spell it?,Isang istruktura na tumatawid sa tubig o daan,Tumutulong ito sa iyo na tumawid sa ilog nang ligtas. Marunong ka bang magbaybay nito?,Places
2,EASY,BUILDING,A structure with walls and a roof,People work or live inside this structure. Can you spell it?,Isang istruktura na may mga dingding at bubong,Ang mga tao ay nagtatrabaho o nakatira sa loob ng istrukturang ito. Marunong ka bang magbaybay nito?,Places
2,EASY,STRONG,Having great physical power,Athletes need to be this to win competitions. Can you spell it?,Pagkakaroon ng malaking pisikal na lakas,Kailangan ng mga atleta na maging ganito upang manalo sa mga kompetisyon. Marunong ka bang magbaybay nito?,Qualities
2,EASY,BRAVE,Having courage to face danger,Firefighters must be this to save people. Can you spell it?,Pagkakaroon ng tapang na harapin ang panganib,Dapat maging ganito ang mga bumbero upang iligtas ang mga tao. Marunong ka bang magbaybay nito?,Qualities
2,EASY,KIND,Being friendly and generous,You are this when you help others without asking. Can you spell it?,Pagiging palakaibigan at mapagbigay,Ikaw ay ganito kapag tumutulong ka sa iba nang hindi humihingi. Marunong ka bang magbaybay nito?,Qualities
